retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
2151,01,"MILK,HEATED APPROX 10MIN",415,Vitamin B-6,0.9
2151,01,"MILK,HEATED APPROX 10MIN",417,"Folate, total",0.85
2151,01,"MILK,HEATED APPROX 10MIN",431,Folic acid,0.85
2151,01,"MILK,HEATED APPROX 10MIN",432,"Folate, food",0.85
2151,01,"MILK,HEATED APPROX 10MIN",421,"Choline, total",0.9
2151,01,"MILK,HEATED APPROX 10MIN",418,Vitamin B-12,0.8
2151,01,"MILK,HEATED APPROX 10MIN",318,"Vitamin A, IU",1.0
2151,01,"MILK,HEATED APPROX 10MIN",392,"Vitamin A, RE",1.0
2151,01,"MILK,HEATED APPROX 10MIN",221,"Alcohol, ethyl",1.0
2151,01,"MILK,HEATED APPROX 10MIN",321,"Carotene, beta",1.0
2151,01,"MILK,HEATED APPROX 10MIN",322,"Carotene, alpha",1.0
2151,01,"MILK,HEATED APPROX 10MIN",334,"Cryptoxanthin, beta",1.0
2151,01,"MILK,HEATED APPROX 10MIN",337,Lycopene,1.0
2151,01,"MILK,HEATED APPROX 10MIN",338,Lutein + zeaxanthin,1.0
2152,01,"MILK,HEATED APPROX 30MIN",301,"Calcium, Ca",1.0
2152,01,"MILK,HEATED APPROX 30MIN",303,"Iron, Fe",1.0
2152,01,"MILK,HEATED APPROX 30MIN",304,"Magnesium, Mg",1.0
2152,01,"MILK,HEATED APPROX 30MIN",305,"Phosphorus, P",1.0
2152,01,"MILK,HEATED APPROX 30MIN",306,"Potassium, K",1.0
2152,01,"MILK,HEATED APPROX 30MIN",307,"Sodium, Na",1.0
2152,01,"MILK,HEATED APPROX 30MIN",309,"Zinc, Zn",1.0
2152,01,"MILK,HEATED APPROX 30MIN",312,"Copper, Cu",1.0
2152,01,"MILK,HEATED APPROX 30MIN",401,"Vitamin C, total ascorbic acid",0.65
2152,01,"MILK,HEATED APPROX 30MIN",404,Thiamin,0.75
2152,01,"MILK,HEATED APPROX 30MIN",405,Riboflavin,1.0
2152,01,"MILK,HEATED APPROX 30MIN",406,Niacin,1.0
2152,01,"MILK,HEATED APPROX 30MIN",415,Vitamin B-6,0.75
2152,01,"MILK,HEATED APPROX 30MIN",417,"Folate, total",0.8
2152,01,"MILK,HEATED APPROX 30MIN",431,Folic acid,0.8
2152,01,"MILK,HEATED APPROX 30MIN",432,"Folate, food",0.8
2152,01,"MILK,HEATED APPROX 30MIN",421,"Choline, total",0.75
2152,01,"MILK,HEATED APPROX 30MIN",418,Vitamin B-12,0.55
2152,01,"MILK,HEATED APPROX 30MIN",318,"Vitamin A, IU",1.0
2152,01,"MILK,HEATED APPROX 30MIN",392,"Vitamin A, RE",1.0
2152,01,"MILK,HEATED APPROX 30MIN",221,"Alcohol, ethyl",1.0
2152,01,"MILK,HEATED APPROX 30MIN",321,"Carotene, beta",1.0
2152,01,"MILK,HEATED APPROX 30MIN",322,"Carotene, alpha",1.0
2152,01,"MILK,HEATED APPROX 30MIN",334,"Cryptoxanthin, beta",1.0
2152,01,"MILK,HEATED APPROX 30MIN",337,Lycopene,1.0
2152,01,"MILK,HEATED APPROX 30MIN",338,Lutein + zeaxanthin,1.0
2154,01,"MILK,REHEATED",301,"Calcium, Ca",1.0
2154,01,"MILK,REHEATED",303,"Iron, Fe",1.0
2154,01,"MILK,REHEATED",304,"Magnesium, Mg",1.0
2154,01,"MILK,REHEATED",305,"Phosphorus, P",1.0
2154,01,"MILK,REHEATED",306,"Potassium, K",1.0
2154,01,"MILK,REHEATED",307,"Sodium, Na",1.0
2154,01,"MILK,REHEATED",309,"Zinc, Zn",1.0
2154,01,"MILK,REHEATED",312,"Copper, Cu",1.0
2154,01,"MILK,REHEATED",401,"Vitamin C, total ascorbic acid",0.95
2154,01,"MILK,REHEATED",404,Thiamin,0.95
2154,01,"MILK,REHEATED",405,Riboflavin,1.0
2154,01,"MILK,REHEATED",406,Niacin,1.0
2154,01,"MILK,REHEATED",415,Vitamin B-6,0.95
2154,01,"MILK,REHEATED",417,"Folate, total",0.95
2154,01,"MILK,REHEATED",431,Folic acid,0.95
2154,01,"MILK,REHEATED",432,"Folate, food",0.95
2154,01,"MILK,REHEATED",421,"Choline, total",0.95
2154,01,"MILK,REHEATED",418,Vitamin B-12,0.95
2154,01,"MILK,REHEATED",318,"Vitamin A, IU",1.0
2154,01,"MILK,REHEATED",392,"Vitamin A, RE",1.0
2154,01,"MILK,REHEATED",221,"Alcohol, ethyl",1.0
2154,01,"MILK,REHEATED",321,"Carotene, beta",1.0
2154,01,"MILK,REHEATED",322,"Carotene, alpha",1.0
2154,01,"MILK,REHEATED",334,"Cryptoxanthin, beta",1.0
2154,01,"MILK,REHEATED",337,Lycopene,1.0
2154,01,"MILK,REHEATED",338,Lutein + zeaxanthin,1.0
0801,05,"CHICKEN,BROILED",301,"Calcium, Ca",0.95
0801,05,"CHICKEN,BROILED",303,"Iron, Fe",0.9
0801,05,"CHICKEN,BROILED",304,"Magnesium, Mg",0.75
0801,05,"CHICKEN,BROILED",305,"Phosphorus, P",0.8
0801,05,"CHICKEN,BROILED",306,"Potassium, K",0.8
0801,05,"CHICKEN,BROILED",307,"Sodium, Na",0.8
0801,05,"CHICKEN,BROILED",309,"Zinc, Zn",1.0
0801,05,"CHICKEN,BROILED",312,"Copper, Cu",0.95
0801,05,"CHICKEN,BROILED",401,"Vitamin C, total ascorbic acid",0.8
0801,05,"CHICKEN,BROILED",404,Thiamin,0.7
0801,05,"CHICKEN,BROILED",405,Riboflavin,0.9
0801,05,"CHICKEN,BROILED",406,Niacin,0.8
0801,05,"CHICKEN,BROILED",415,Vitamin B-6,0.8
0801,05,"CHICKEN,BROILED",417,"Folate, total",0.6
0801,05,"CHICKEN,BROILED",431,Folic acid,0.6
0801,05,"CHICKEN,BROILED",432,"Folate, food",0.6
0801,05,"CHICKEN,BROILED",421,"Choline, total",0.7
0801,05,"CHICKEN,BROILED",418,Vitamin B-12,0.65
0801,05,"CHICKEN,BROILED",318,"Vitamin A, IU",0.75
0801,05,"CHICKEN,BROILED",392,"Vitamin A, RE",0.75
0801,05,"CHICKEN,BROILED",221,"Alcohol, ethyl",1.0
0801,05,"CHICKEN,BROILED",321,"Carotene, beta",0.75
0801,05,"CHICKEN,BROILED",322,"Carotene, alpha",0.75
0801,05,"CHICKEN,BROILED",334,"Cryptoxanthin, beta",0.75
0801,05,"CHICKEN,BROILED",337,Lycopene,0.75
0801,05,"CHICKEN,BROILED",338,Lutein + zeaxanthin,0.75
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",301,"Calcium, Ca",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",303,"Iron, Fe",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",304,"Magnesium, Mg",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",305,"Phosphorus, P",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",306,"Potassium, K",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",307,"Sodium, Na",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",309,"Zinc, Zn",1.0
0852,05,"CHICKEN,BROWN,SIMMER,W/DRIPPINGS",312,"Copper, Cu",1.0
